Epoch [1/15], Train Loss: 1.7641, Val Loss: 1.7236, Train Acc: 0.7006, Val Acc: 0.7388
Epoch [2/15], Train Loss: 1.7081, Val Loss: 1.6624, Train Acc: 0.7539, Val Acc: 0.7987
Epoch [3/15], Train Loss: 1.6279, Val Loss: 1.6120, Train Acc: 0.8342, Val Acc: 0.8499
Epoch [4/15], Train Loss: 1.5979, Val Loss: 1.5914, Train Acc: 0.8640, Val Acc: 0.8696
Epoch [5/15], Train Loss: 1.5871, Val Loss: 1.5893, Train Acc: 0.8739, Val Acc: 0.8718
Epoch [6/15], Train Loss: 1.5711, Val Loss: 1.5876, Train Acc: 0.8901, Val Acc: 0.8729
Epoch [7/15], Train Loss: 1.5664, Val Loss: 1.5773, Train Acc: 0.8951, Val Acc: 0.8838
Epoch [8/15], Train Loss: 1.5635, Val Loss: 1.5744, Train Acc: 0.8978, Val Acc: 0.8864
Epoch [9/15], Train Loss: 1.5595, Val Loss: 1.5681, Train Acc: 0.9019, Val Acc: 0.8934
Epoch [10/15], Train Loss: 1.5581, Val Loss: 1.5679, Train Acc: 0.9031, Val Acc: 0.8931
Epoch [11/15], Train Loss: 1.5498, Val Loss: 1.5658, Train Acc: 0.9120, Val Acc: 0.8960
Epoch [12/15], Train Loss: 1.5470, Val Loss: 1.5640, Train Acc: 0.9151, Val Acc: 0.8964
Epoch [13/15], Train Loss: 1.5455, Val Loss: 1.5656, Train Acc: 0.9164, Val Acc: 0.8942
Epoch [14/15], Train Loss: 1.5435, Val Loss: 1.5633, Train Acc: 0.9185, Val Acc: 0.8968
Epoch [15/15], Train Loss: 1.5418, Val Loss: 1.5653, Train Acc: 0.9203, Val Acc: 0.8946
