Epoch [1/15], Train Loss: 1.8199, Val Loss: 1.7863, Train Acc: 0.6435, Val Acc: 0.6738
Epoch [2/15], Train Loss: 1.7470, Val Loss: 1.6732, Train Acc: 0.7135, Val Acc: 0.7889
Epoch [3/15], Train Loss: 1.6602, Val Loss: 1.6611, Train Acc: 0.8007, Val Acc: 0.7985
Epoch [4/15], Train Loss: 1.6506, Val Loss: 1.6538, Train Acc: 0.8106, Val Acc: 0.8074
Epoch [5/15], Train Loss: 1.6447, Val Loss: 1.6495, Train Acc: 0.8163, Val Acc: 0.8111
Epoch [6/15], Train Loss: 1.6428, Val Loss: 1.6488, Train Acc: 0.8178, Val Acc: 0.8119
Epoch [7/15], Train Loss: 1.6084, Val Loss: 1.5901, Train Acc: 0.8524, Val Acc: 0.8710
Epoch [8/15], Train Loss: 1.5764, Val Loss: 1.5872, Train Acc: 0.8848, Val Acc: 0.8736
Epoch [9/15], Train Loss: 1.5711, Val Loss: 1.5860, Train Acc: 0.8898, Val Acc: 0.8742
Epoch [10/15], Train Loss: 1.5696, Val Loss: 1.5776, Train Acc: 0.8912, Val Acc: 0.8831
Epoch [11/15], Train Loss: 1.5673, Val Loss: 1.5849, Train Acc: 0.8936, Val Acc: 0.8753
Epoch [12/15], Train Loss: 1.5633, Val Loss: 1.5826, Train Acc: 0.8976, Val Acc: 0.8778
Epoch [13/15], Train Loss: 1.5629, Val Loss: 1.5888, Train Acc: 0.8977, Val Acc: 0.8715
Epoch [14/15], Train Loss: 1.5605, Val Loss: 1.5744, Train Acc: 0.9003, Val Acc: 0.8866
Epoch [15/15], Train Loss: 1.5588, Val Loss: 1.5754, Train Acc: 0.9021, Val Acc: 0.8852
